MORE:Ranker,MOGONET:Ranker,lasso,mean_rank
cg10923408,hsa-miR-450b-5p,cg14851685,cg14851685
cg14792480,DNAJC18,hsa-miR-1266,hsa-miR-1266
PLK2,cg17253459,cg13547644,cg13547644
CLMN,cg24623694,ebv-miR-BART2-5p,ebv-miR-BART2-5p
SMIM10L2A,ZBBX,cg18988110,cg18988110
hsa-miR-220a,hsa-miR-497,PLEKHM2,PLEKHM2
hsa-miR-544,SH2D5,cg00466249,cg00466249
cg25076881,LINC01664,YBX2,YBX2
SLC4A11,VASP,cg18986273,cg18986273
KIF5A,VEZF1,DOCK5,DOCK5
PPDPF,GLI1,hsa-miR-484,hsa-miR-484
hsa-miR-101,hsa-miR-656,kshv-miR-K12-2,kshv-miR-K12-2
cg24134767,cg03389133,hsa-miR-448,hsa-miR-448
cg20483374,hsa-miR-151-5p,hsa-miR-548j,hsa-miR-548j
hsa-let-7b,cg27243140,MEIS3,MEIS3
cg04983977,hsa-miR-220a,hsa-miR-1246,hsa-miR-1246
hsa-miR-874,cg27016307,LNCBRM,LNCBRM
hsa-miR-23b,cg05668853,hsv1-miR-H8,hsv1-miR-H8
hsa-miR-148b,hsa-miR-335,cg02595219,cg02595219
hsa-miR-504,ZNF704,cg06946880,cg06946880
cg05050341,hsa-miR-7,cg05898524,cg05898524
CEACAM16-AS1,hsa-miR-19b,hsa-miR-873,hsa-miR-873
PRSS16,hsa-miR-525-5p,hsa-miR-452,hsa-miR-452
hsa-miR-1275,hsa-miR-577,hsa-miR-199b-5p,hsa-miR-199b-5p
hsa-miR-340,RHOQ,PADI2,PADI2
cg21663431,hsa-miR-100,cg17253459,cg17253459
VEZF1,cg27146152,hsa-miR-485-5p,hsa-miR-485-5p
cg00095526,hsa-miR-1308,OR7A5,OR7A5
cg13547644,cg03453449,LINC01485,LINC01485
cg17692403,SCN2B,ebv-miR-BART8,ebv-miR-BART8
KIF5B,TMCC3,hsa-miR-450b-5p,hsa-miR-450b-5p
cg21062347,cg17692403,hsa-miR-181c,hsa-miR-181c
hsa-miR-448,cg01612158,hsa-miR-410,hsa-miR-410
hsa-miR-369-3p,cg12556134,FZD9,FZD9
hsa-miR-2054,hsa-miR-744,cg08241785,cg08241785
hsa-miR-379,cg12793610,hsa-miR-10a,hsa-miR-10a
hsa-miR-885-5p,cg22472290,cg22545356,cg22545356
hsa-miR-92b,hsa-miR-874,hsa-miR-138,hsa-miR-138
HPCA,cg24178740,hsa-miR-152,hsa-miR-152
hsa-miR-33a,hsa-miR-548j,hsa-miR-220a,hsa-miR-220a
cg24101578,SLC38A2,hsa-miR-454,hsa-miR-454
hsa-miR-514,cg25277950,hsa-miR-455-3p,hsa-miR-455-3p
cg23579062,cg04451770,hsa-miR-95,hsa-miR-95
hsa-miR-26a,cg05898524,hsa-miR-577,hsa-miR-577
PCYOX1L,cg09152089,LNCOC1,LNCOC1
hsa-miR-2117,cg19485804,hsa-miR-192,hsa-miR-192
hsa-miR-137,cg18182399,hsa-miR-330-3p,hsa-miR-330-3p
hsa-miR-219-5p,cg08775230,hsa-miR-520e,hsa-miR-520e
hsa-miR-145,cg04488758,hsa-miR-769-3p,hsa-miR-769-3p
cg01869233,cg15210427,hsa-miR-640,hsa-miR-640
hsa-let-7i,hsa-miR-30e,FLT3LG,FLT3LG
hsa-miR-651,hsa-miR-190b,hsa-miR-633,hsa-miR-633
cg07412254,hsa-miR-582-5p,hsa-miR-889,hsa-miR-889
OLMALINC,hsa-miR-769-3p,cg22672790,cg22672790
cg03453449,hsa-miR-146b-5p,cg22224704,cg22224704
APLN,hsa-miR-195,cg00204262,cg00204262
hsa-miR-410,PNMA5,cg16555388,cg16555388
cg21301148,LDLRAP1,cg27016307,cg27016307
cg11761535,hsa-miR-432,hsa-miR-1305,hsa-miR-1305
SPACA6,cg16003238,CHRNA2,CHRNA2
AIF1L,cg02010852,hsa-miR-582-5p,hsa-miR-582-5p
hsa-miR-29c,hsa-miR-548a-3p,cg21062347,cg21062347
cg24623694,FZD9,cg08351331,cg08351331
HSPA2,cg02489552,cg00498305,cg00498305
hsa-miR-149,HMG20B,hsa-miR-149,hsa-miR-149
INPP5D,cg17465304,hsa-miR-425,hsa-miR-425
cg12556134,hsa-miR-431,hsa-miR-106b,hsa-miR-106b
hsa-miR-487b,HSPA2,AQP6,AQP6
cg06220958,cg17826679,cg17398613,cg17398613
hsa-miR-517c_hsa-miR-519a,cg15984661,hsa-miR-126,hsa-miR-126
cg05670596,cg18119407,hsa-miR-203,hsa-miR-203
RIPOR3,HSPB2,SASH1,SASH1
hsa-miR-324-5p,ICAM5,hsa-miR-130b,hsa-miR-130b
ARK2C,IP6K3,ADRA1D,ADRA1D
hsa-miR-1283,cg20910746,cg18669381,cg18669381
LINC01007,hsa-miR-1275,cg03003745,cg03003745
hsa-miR-27a,KANK2,cg25277950,cg25277950
DNAJC18,ZNF652-AS1,cg05382123,cg05382123
hsa-miR-181c,cg21663431,cg10313673,cg10313673
LINC01736,CSRP1,cg05232889,cg05232889
hsa-miR-138,hsa-miR-125a-5p,hsa-miR-744,hsa-miR-744
hsa-miR-656,CPM,cg17071957,cg17071957
hsa-miR-221,cg05886367,cg17826679,cg17826679
GAREM2,cg07412254,cg24623694,cg24623694
cg20744464,hsa-miR-95,cg08775230,cg08775230
hsa-miR-34b,APLN,cg06849477,cg06849477
ATF7IP2,cg09656934,cg15789095,cg15789095
cg21960110,cg09705062,cg17465304,cg17465304
SYDE1,AQP6,hsa-miR-24,hsa-miR-24
cg18988110,hsa-miR-92b,cg24322623,cg24322623
cg04527918,hsa-miR-889,cg10978355,cg10978355
TCF15,CCDC69,cg02010852,cg02010852
LDLRAP1,hsa-miR-640,cg20300246,cg20300246
YES1,hsa-miR-633,hsa-miR-30e,hsa-miR-30e
PNMA5,cg22224704,cg04488758,cg04488758
cg08727202,cg12981137,cg20483374,cg20483374
hsa-miR-330-3p,CEACAM16-AS1,cg04527918,cg04527918
hsv1-miR-H8,CELF6,cg06637893,cg06637893
CSRP1,CHRNA2,hsa-miR-200a,hsa-miR-200a
cg23349242,CMTM3,cg27243140,cg27243140
TMEM107,CNN3-DT,cg06220958,cg06220958
cg05256043,cg05050341,hsa-miR-193b,hsa-miR-193b
SLC5A11,cg04983977,cg00597076,cg00597076
MID1IP1,cg15780361,hsa-miR-451,hsa-miR-451
cg17939444,cg15895197,cg16541031,cg16541031
hsa-miR-496,COL26A1,cg16604516,cg16604516
cg17826679,hsa-miR-329,cg23477967,cg23477967
ANLN,hsa-miR-23b,cg00840516,cg00840516
FAM107B,cg25903497,cg22585988,cg22585988
TAC3,cg24365867,TMEM59L,TMEM59L
cg21671476,MEIS3,ZNF441,ZNF441
cg20300246,hsa-miR-148a,ZCCHC17,ZCCHC17
PLXNB1,SMTN,hsa-miR-93,hsa-miR-93
hsa-miR-93,MID1IP1,YES1,YES1
cg11126134,cg22545356,WSCD1,WSCD1
cg16555388,SMIM10L2A,WNT10B,WNT10B
CCNO,SLC6A9,WBP2,WBP2
NRXN3,SLC6A12,VSTM2L,VSTM2L
LINC00507,SLC5A11,VEZF1,VEZF1
LNCOC1,MRGPRF,VASP,VASP
hsa-miR-203,SLC43A3,TRIP10,TRIP10
hsa-miR-548h,MXI1,TNS3,TNS3
ADIPOR2,MYOT,TMEM132E-DT,TMEM132E-DT
hsa-miR-640,hsa-miR-149,ZNF704,ZNF704
hsa-miR-1305,SLC25A18,TMEM107,TMEM107
FOXO4,NDE1,TMCC3,TMCC3
hsa-miR-1266,S100A4,TIMELESS,TIMELESS
hsa-miR-584,NPTXR,TGFBR3L,TGFBR3L
LY86-AS1,QDPR,TGFB1I1,TGFB1I1
hsa-miR-191,LINC01485,hsa-miR-346,hsa-miR-346
OR7A5,MAP4K4,TCF15,TCF15
MAST3,cg24134767,TAC3,TAC3
CDH22,hsa-miR-130b,SYT5,SYT5
hsa-miR-381,MAP4K3-DT,SYDE1,SYDE1
hsa-miR-361-3p,RIPOR3,hsa-miR-194,hsa-miR-194
MYOT,LNCOC1,SMTN,SMTN
SCG3,cg23499956,hsa-miR-221,hsa-miR-221
hsv1-miR-H1,LINC01007,hsa-miR-128,hsa-miR-128
ZNF652-AS1,cg08578641,cg25982743,cg25982743
CMTM3,cg23579062,cg22472290,cg22472290
CASC3,LINC00926,cg26832211,cg26832211
hsa-miR-125b,hsa-miR-33a,cg11136562,cg11136562
cg06933965,hsa-miR-154,cg00095526,cg00095526
cg00745735,LINC00507,hsa-miR-31,hsa-miR-31
cg02932167,TCF15,cg07412254,cg07412254
cg26143719,hsa-miR-331-3p,cg10942056,cg10942056
VSTM2L,hsa-miR-148b,cg10923408,cg10923408
cg20910746,cg08727202,cg20217872,cg20217872
cg26832211,cg10942056,cg18182399,cg18182399
cg00840516,cg27132814,cg19264571,cg19264571
SLC25A48,hsv1-miR-H8,cg13288195,cg13288195
ISYNA1,hsa-miR-133a,cg05697249,cg05697249
A2ML1,hsa-miR-1305,cg22282672,cg22282672
hsa-miR-31,cg11052143,hsa-miR-370,hsa-miR-370
ITPKB,hsa-miR-551b,cg19368582,cg19368582
cg13299148,cg13043509,hsa-miR-377,hsa-miR-377
hsa-miR-195,cg24910675,cg04983977,cg04983977
hsa-miR-130b,cg24765079,cg15984661,cg15984661
GIPR,cg24525573,cg24765079,cg24765079
SLC30A3,cg16555388,cg24670715,cg24670715
cg08241785,cg16604516,hsa-miR-148b,hsa-miR-148b
NRIP2,cg16970828,hsa-miR-142-3p,hsa-miR-142-3p
cg13334277,cg24362726,hsa-miR-23b,hsa-miR-23b
NDE1,cg24101578,cg11052143,cg11052143
cg09152089,hsa-miR-369-3p,cg15780361,cg15780361
cg09222115,hsa-miR-21,cg02489552,cg02489552
cg05382123,cg23616741,cg06933965,cg06933965
hsa-miR-548a-3p,cg19138960,hsa-miR-769-5p,hsa-miR-769-5p
FZD9,cg19504245,cg26200585,cg26200585
ANKRD40,cg20870559,cg15895197,cg15895197
cg05886367,hsa-miR-129-5p,cg19954000,cg19954000
hsa-miR-873,A2ML1,cg03258472,cg03258472
IP6K3,cg08548888,cg08578641,cg08578641
MARCHF8,PRKX,cg22740835,cg22740835
cg27159719,PRSS16,hsa-miR-517c_hsa-miR-519a,hsa-miR-517c_hsa-miR-519a
cg19485804,CDK2AP1,cg17506742,cg17506742
MPV17L2,SAMD4A,cg27132814,cg27132814
hsa-miR-664,SASH1,cg02397720,cg02397720
cg13288195,GIPR,cg23674882,cg23674882
hsa-miR-129-5p,SMIM10L2B,cg20692569,cg20692569
cg00174500,TEAD2,cg08548888,cg08548888
hsa-miR-525-5p,TGFB1I1,cg13633560,cg13633560
cg05973262,TGFBR3L,cg21671476,cg21671476
hsa-miR-516a-3p,TMEM132E-DT,cg22534509,cg22534509
hsa-miR-331-3p,VSTM2L,cg26090652,cg26090652
hsa-miR-143,FLT3LG,cg21960110,cg21960110
KANK2,cg04502814,cg14435807,cg14435807
hsa-miR-15a,C22orf46P,cg21838334,cg21838334
HSPB2,YBX2,cg17928268,cg17928268
SH2D5,CASC3,cg25947945,cg25947945
hsa-miR-1299,YES1,hsa-miR-99b,hsa-miR-99b
cg24322623,ERI3,cg20870559,cg20870559
SLC43A3,ERFE,cg03870261,cg03870261
WSCD1,ELP2,hsa-miR-431,hsa-miR-431
HOPX,COL27A1,cg27159719,cg27159719
cg06117855,KIF13B,cg15626350,cg15626350
cg07197059,IQCK-AS1,cg03389133,cg03389133
hsa-miR-376c,PLXNB1,cg05886367,cg05886367
CELF6,OR7A5,cg05429895,cg05429895
hsa-miR-107,PREX1,cg24178740,cg24178740
cg27146152,MCM7,cg07193504,cg07193504
hsa-let-7f,NUMBL,hsa-miR-133b,hsa-miR-133b
hsa-miR-1180,ADORA2A,cg13299148,cg13299148
DOCK1,ARHGEF37,cg00534274,cg00534274
hsa-miR-146b-5p,PPDPF,cg05670596,cg05670596
hsa-miR-383,ADRA1D,cg25076881,cg25076881
RBP4,LINC01736,hsa-miR-433,hsa-miR-433
cg14435807,LINC03013,cg05256043,cg05256043
hsa-miR-16,cg08241785,hsa-miR-432,hsa-miR-432
CEDORA,METTL1,cg03852570,cg03852570
hsa-miR-495,PLEKHB1,cg19138960,cg19138960
ELP2,cg06344807,hsa-miR-362-3p,hsa-miR-362-3p
hsa-miR-450b-5p,cg06637893,cg01612158,cg01612158
LINC03013,hsa-miR-199b-5p,cg26509022,cg26509022
hsa-miR-1286,cg22398616,cg02932167,cg02932167
hsa-miR-126,cg07197059,cg20028470,cg20028470
cg22442730,hsa-miR-197,cg24389347,cg24389347
cg06849477,cg17928268,cg20910746,cg20910746
S100A4,cg22585988,cg18343292,cg18343292
hsa-miR-377,hsa-miR-1266,cg23741330,cg23741330
TIMELESS,cg11761535,cg23499956,cg23499956
hsa-miR-197,hsa-miR-381,cg14792480,cg14792480
hsa-miR-329,SLC25A48,cg09222115,cg09222115
hsa-miR-1297,RUSF1,cg27146152,cg27146152
hsa-miR-433,hsa-miR-495,cg12793610,cg12793610
cg19504245,INPP5D,cg03453449,cg03453449
LINC00926,LINC00310,cg24365867,cg24365867
hsa-miR-206,cg18988110,hsa-miR-25,hsa-miR-25
cg18669381,hsa-miR-1260,cg13043509,cg13043509
cg03258472,hsa-miR-181c,cg12120741,cg12120741
NUMBL,cg02008416,cg07730301,cg07730301
VASP,cg17071957,hsa-miR-19b,hsa-miR-19b
cg18986273,cg05429895,cg23579062,cg23579062
hsa-let-7g,cg14837165,cg08727202,cg08727202
PADI2,hsa-miR-29b,SMIM10L2B,SMIM10L2B
cg15780361,INPPL1,cg21494776,cg21494776
cg03003745,cg05382123,cg12052765,cg12052765
cg02397720,cg02654291,cg25903497,cg25903497
hsa-miR-128,cg27104271,cg16970828,cg16970828
IQCK-AS1,hsa-miR-769-5p,cg21663431,cg21663431
PRR13,hsa-miR-451,cg19884658,cg19884658
cg24362726,cg05232889,cg24525573,cg24525573
cg08578641,EZR,hsa-miR-335,hsa-miR-335
cg19954000,cg24322623,cg14837165,cg14837165
cg19125606,WSCD1,cg15210427,cg15210427
KIF13B,cg03870261,cg26143719,cg26143719
FFAR4,TNS3,cg05050341,cg05050341
hsa-miR-10a,cg23159337,cg03400060,cg03400060
cg16361890,ERBIN,cg09382492,cg09382492
hsa-miR-320a,cg15789095,cg12556134,cg12556134
hsa-miR-299-5p,hsa-miR-25,cg00174500,cg00174500
AGPAT1,OR7E14P,cg14072120,cg14072120
hsa-miR-140-3p,cg06946880,cg02347487,cg02347487
OGA,AIF1L,cg07197059,cg07197059
hsa-miR-99a,cg19884658,cg18119407,cg18119407
hsa-miR-485-5p,cg05670596,cg09152089,cg09152089
hsa-miR-98,NRXN3,cg24910675,cg24910675
CDK2AP1,cg06849477,cg05512756,cg05512756
cg14837165,DYNC1LI2,cg03972838,cg03972838
cg00597076,hsa-miR-96,cg17692403,cg17692403
hsa-miR-142-3p,hsa-miR-145,cg23349242,cg23349242
hsa-miR-29a,cg14851685,cg11126134,cg11126134
cg03870261,cg15517609,cg13673514,cg13673514
cg04451770,ADIPOR2,cg24101578,cg24101578
IQGAP1,hsa-miR-2054,hsa-miR-100,hsa-miR-100
cg22398616,PHYHIP,hsa-miR-504,hsa-miR-504
CNN3-DT,hsa-miR-133b,hsa-miR-1260,hsa-miR-1260
AQP6,cg13288195,cg20744464,cg20744464
CHRNA2,cg14792480,cg17939444,cg17939444
hsa-miR-454,cg26143719,cg06344807,cg06344807
SAMD4A,cg06117855,cg19125606,cg19125606
CHID1,ATF7IP2,cg14600885,cg14600885
hsa-miR-99b,cg05512756,cg05668853,cg05668853
hsa-miR-767-5p,FOXO4,cg11504740,cg11504740
hsa-miR-744,hsa-miR-29c,cg04502814,cg04502814
cg01612158,cg13547644,cg16382322,cg16382322
TRIP10,cg22672790,cg04451770,cg04451770
hsa-miR-133b,CCKBR,SMIM3,SMIM3
ADORA2A,cg21062347,RASSF2,RASSF2
hsa-miR-199b-5p,cg23477967,SMIM10L2A,SMIM10L2A
ebv-miR-BART8,cg00498305,AGPAT1,AGPAT1
TNS3,CEP83,ADIPOR2,ADIPOR2
cg17253459,cg16541031,hsa-miR-1275,hsa-miR-1275
CCDC69,cg21671476,hsa-miR-204,hsa-miR-204
cg19138960,ODC1,hsa-miR-1297,hsa-miR-1297
cg02008416,CDK18,hsa-miR-518e,hsa-miR-518e
CPM,hsa-miR-375,hsa-miR-135a,hsa-miR-135a
cg17465304,hsa-miR-142-3p,hsa-miR-191,hsa-miR-191
DBI,ASCL1,hsa-miR-2054,hsa-miR-2054
MCM7,cg02347487,hsa-miR-496,hsa-miR-496
TGFB1I1,PADI2,hsa-miR-10b,hsa-miR-10b
WNT10B,hsa-miR-1297,hsa-miR-374a,hsa-miR-374a
cg04502814,cg20692569,hsa-miR-216a,hsa-miR-216a
NPTXR,cg20664201,hsa-miR-520d-3p,hsa-miR-520d-3p
cg13043509,NRIP2,hsa-miR-1299,hsa-miR-1299
cg24178740,hsa-miR-206,hsa-miR-107,hsa-miR-107
cg06690548,SYDE1,hsa-miR-92b,hsa-miR-92b
cg22545356,cg21960110,hsa-miR-143,hsa-miR-143
cg17071957,hsa-miR-485-3p,hsa-miR-96,hsa-miR-96
cg15210427,cg23741330,hsa-miR-1979,hsa-miR-1979
cg07730301,RPL29,hsa-miR-2117,hsa-miR-2117
cg15127733,cg00597076,hsa-miR-494,hsa-miR-494
SYT5,cg14072120,hsa-miR-103,hsa-miR-103
cg11504740,hsa-miR-383,hsa-miR-514,hsa-miR-514
cg20028470,cg02397720,hsa-miR-664,hsa-miR-664
hsa-miR-30e,cg15626350,hsa-miR-122,hsa-miR-122
hsa-miR-194,FANCC,ADORA2A,ADORA2A
cg24910675,cg19832721,AIF1L,AIF1L
hsa-miR-7,KLHL5,hsa-miR-148a,hsa-miR-148a
FLT3LG,ISYNA1,ANKRD19P,ANKRD19P
hsa-miR-190b,TIMELESS,COL26A1,COL26A1
cg11136562,cg07730301,hsa-miR-379,hsa-miR-379
cg19368582,hsa-miR-1,hsa-miR-874,hsa-miR-874
hsa-miR-135a,cg20744464,CHID1,CHID1
cg16541031,LINC02552,CEP83,CEP83
cg24670715,PIEZO2,CELF6,CELF6
LGMN,hsa-miR-361-3p,CEACAM16-AS1,CEACAM16-AS1
cg17506742,PCYOX1L,CDK2AP1,CDK2AP1
hsa-miR-488,CARHSP1,CDK18,CDK18
cg18119407,cg17398613,CDH22,CDH22
cg27016307,MPV17L2,hsa-miR-16,hsa-miR-16
ANKRD19P,cg13673514,CCKBR,CCKBR
hsa-miR-452,cg11126134,CCDC69,CCDC69
ASCL1,LGMN,CASC3,CASC3
cg26090652,cg10313673,CARHSP1,CARHSP1
cg22282672,hsa-miR-651,hsa-miR-218,hsa-miR-218
ODC1,SLC30A3,C22orf46P,C22orf46P
KCNJ16,hsa-miR-520d-3p,ATF7IP2,ATF7IP2
cg10978355,hsa-miR-137,ASCL1,ASCL1
cg25277950,ANKRD40,ARRDC2,ARRDC2
SMIM3,ANLN,ARK2C,ARK2C
SLC25A18,cg10923408,ARHGEF37,ARHGEF37
CACNG3,cg04527918,APLN,APLN
INPPL1,cg26200585,ANLN,ANLN
MAP4K4,KIF5B,ANKRD40,ANKRD40
hsa-miR-425,cg21838334,hsv1-miR-H1,hsv1-miR-H1
PRKCG,cg21494776,hsa-miR-495,hsa-miR-495
cg02595219,hsa-miR-370,CPM,CPM
OR7E14P,cg17939444,hsa-miR-7,hsa-miR-7
cg18343292,hsa-miR-153,hsa-miR-490-5p,hsa-miR-490-5p
CARHSP1,cg00840516,hsa-miR-151-5p,hsa-miR-151-5p
RHOQ,SPACA6,hsa-miR-361-5p,hsa-miR-361-5p
hsa-miR-125a-5p,cg00777121,hsa-miR-891b,hsa-miR-891b
cg02010852,cg18343292,hsa-miR-296-5p,hsa-miR-296-5p
PLEKHM2,cg25982743,hsa-miR-151-3p,hsa-miR-151-3p
hsa-miR-95,cg26090652,hsa-miR-376c,hsa-miR-376c
cg15895197,cg26832211,hsa-miR-548h,hsa-miR-548h
cg16382322,cg27159719,hsa-miR-140-5p,hsa-miR-140-5p
cg27132814,cg20028470,hsa-miR-299-5p,hsa-miR-299-5p
cg19884658,KCNJ16,hsa-miR-522,hsa-miR-522
hsa-miR-151-3p,cg19264571,hsa-miR-1283,hsa-miR-1283
cg00777121,hsa-miR-362-3p,hsa-miR-488,hsa-miR-488
SLC6A9,cg12864235,hsa-let-7g,hsa-let-7g
RASSF2,LINC00515,hsa-miR-190b,hsa-miR-190b
cg13633560,hsa-miR-129-3p,hsa-miR-101,hsa-miR-101
MRAS,RBP4,hsa-miR-29b,hsa-miR-29b
DOCK5,hsa-miR-194,hsa-miR-15a,hsa-miR-15a
cg00466249,ANKRD19P,hsa-miR-140-3p,hsa-miR-140-3p
kshv-miR-K12-2,hsa-miR-143,hsa-miR-424,hsa-miR-424
kshv-miR-K12-4-5p,cg00204262,hsa-miR-125b,hsa-miR-125b
HMGN2,hsa-miR-544,hsa-miR-376a,hsa-miR-376a
YBX2,ebv-miR-BART2-5p,hsa-miR-145,hsa-miR-145
PHF19,hsa-miR-2114,hsa-miR-485-3p,hsa-miR-485-3p
HIGD1B,hsa-miR-377,hsa-miR-195,hsa-miR-195
ZNF441,CHID1,hsa-miR-551b,hsa-miR-551b
cg04488758,hsa-miR-423-3p,hsa-miR-98,hsa-miR-98
cg17928268,hsa-miR-299-5p,hsa-miR-2114,hsa-miR-2114
cg16604516,HOPX,hsa-miR-497,hsa-miR-497
hsa-miR-378,ARRDC2,hsa-miR-27a,hsa-miR-27a
TGFBR3L,GAREM2,hsa-miR-1180,hsa-miR-1180
TMEM59L,hsa-miR-520e,hsa-miR-340,hsa-miR-340
hsa-miR-132,LY86-AS1,hsa-miR-500_hsa-miR-501-5p,hsa-miR-500_hsa-miR-501-5p
cg07193504,HPCA,hsa-miR-139-5p,hsa-miR-139-5p
